LugarID,Lugar,TituloID
0,Alicante,8
1,Elche,8
2,España,8
2,España,45
3,Las Navas,45
4,Ávila,45
5,El Escorial,69
2,España,69
6,Madrid,69
2,España,70
7,Valencia,70
8,Italia,71
2,España,78
9,Guadarrama,78
6,Madrid,78
10,Francia,80
11,Normandía,80
12,Cantabria,83
2,España,83
13,San Vicente de la Barquera,83
2,España,108
14,Sevilla,108
15,Alsasua,112
2,España,112
16,Navarra,112
2,España,120
17,Granada,120
15,Alsasua,142
2,España,142
16,Navarra,142
18,Asturias,144
2,España,144
19,Picos de Europa,144
8,Italia,157
20,Palermo,157
21,Sicilia,157
22,Magreb,175
23,Marruecos,175
24,Buñol,176
2,España,176
7,Valencia,176
2,España,180
9,Guadarrama,180
6,Madrid,180
25,Bruselas,190
26,Bélgica,190
27,"Brabante, Tervuren",210
26,Bélgica,210
15,Alsasua,309
2,España,309
16,Navarra,309
28,Argelia,330
5,El Escorial,335
2,España,335
6,Madrid,335
2,España,413
29,Gran Canaria,413
30,Islas Canarias,413
24,Buñol,416
2,España,416
7,Valencia,416
31,Aranjuez,437
2,España,437
6,Madrid,437
32,El Pardo,440
2,España,440
6,Madrid,440
0,Alicante,441
1,Elche,441
2,España,441
2,España,458
14,Sevilla,458
18,Asturias,460
2,España,460
2,España,463
6,Madrid,463
24,Buñol,468
2,España,468
7,Valencia,468
2,España,473
6,Madrid,473
24,Buñol,474
2,España,474
7,Valencia,474
8,Italia,477
18,Asturias,525
2,España,525
18,Asturias,537
2,España,537
2,España,542
7,Valencia,542
8,Italia,551
33,Roma,551
0,Alicante,566
1,Elche,566
2,España,566
18,Asturias,572
2,España,572
19,Picos de Europa,572
2,España,575
17,Granada,575
15,Alsasua,584
2,España,584
16,Navarra,584
34,Frascati,596
8,Italia,596
33,Roma,596
34,Frascati,605
8,Italia,605
33,Roma,605
2,España,607
35,Salamanca,607
8,Italia,613
36,Venecia,613
8,Italia,627
33,Roma,627
2,España,648
9,Guadarrama,648
6,Madrid,648
